col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,total_quantity,augmented_quantity,FU,City,CEP,date_time_login,date_time_confirm,TARGET
-400.73271123116376,72.92647821564114,-243.0593697106282,87.92855089700119,568.2114577672967,-314.3715079614175,-601.964792870224,617.692214837333,123,569,ES,Vitória,29072305,2022-06-05 02:14:15,2022-06-05 02:14:21,1
-880.7473683247812,-956.6086850830649,1254.8806417211513,-295.77110277603805,-4279.43052092776,-1540.310595203865,-376.90284306816426,-550.7484546701021,108,184,RJ,Rio de Janeiro,23580304,2022-05-15 08:04:36,2022-05-15 08:04:52,0
1466.142173843922,-254.23705277890383,27.56895237893446,-607.2257524990204,-133.6570556255067,1300.2143297999155,254.24127991380172,970.5439874027716,116,384,RJ,Nova Iguaçu,26220320,2022-05-03 17:14:40,2022-05-03 17:14:49,0
-528.482231032748,1100.676006186519,-718.0903718433292,-97.39448533845034,-2962.9960389966473,-1356.7903088527078,1034.5677341971368,-68.54896326531916,100,0,RJ,Nova Iguaçu,26089250,2022-06-07 16:56:18,2022-06-07 16:56:26,0
1648.2902566290552,1317.673827876238,-1102.9746354420774,448.95684244412547,-332.7960286313435,1163.0036600378062,-1560.4407660468316,1844.6300478475748,107,161,MG,Contagem,32046360,2022-04-05 00:19:15,2022-04-05 00:19:26,0
-1270.6181510278218,-544.1102063326402,-623.5445774168619,-1885.9690710537948,874.7265910915243,423.8875571384833,-247.06437961323962,-425.07778487408433,142,18,RJ,São Gonçalo,24435130,2022-04-10 09:32:04,2022-04-10 09:32:24,0
16.86450004843536,424.18762783916765,-784.2050610874301,129.044156913283,-1342.5098270128628,-1726.2978500440465,1034.9629104780554,-451.0692752538559,112,282,RJ,Duque de Caxias,25051220,2022-03-10 19:39:55,2022-03-10 19:40:06,0
-1366.739830505906,1108.327430604723,1097.8034372671073,1211.3240501322734,-4697.207793128105,-1741.0026670219181,666.7435007502012,-867.7360596568118,116,384,SP,São Paulo,8412006,2022-03-28 02:06:40,2022-03-28 02:06:58,0
1926.1813035295536,-886.467948108602,495.9701885661793,-685.300869175603,-281.21168158301515,1161.4419925078266,1003.5931217541165,1445.5189340280313,132,824,RJ,Rio de Janeiro,23092260,2022-03-25 05:23:07,2022-03-25 05:23:28,0
-386.9032918579756,1220.6312478646787,403.9855444365367,1333.0096642383673,-2436.265606328592,-1628.4828163496102,648.487766713674,-397.54098356155623,106,137,ES,Serra,29182165,2022-06-10 01:43:48,2022-06-10 01:44:09,0
